ID_Cliente,Gasto_Total,Frecuencia_Compra,Valor_Promedio_Pedido,Dias_Ultima_Compra,Ingreso_Anual,Region
100078,4071,84,48.46,72,91687,Norte
100079,424,10,42.4,83,91172,Este
100080,3175,44,72.16,75,58298,Sur
100081,2813,21,133.95,60,70610,Oeste
100082,1681,13,129.31,82,30000,Este
100083,5236,56,93.5,79,78744,Centro
100084,6750,49,137.76,65,63895,Oeste
100085,475,5,95,66,113480,Sur
100086,1279,20,63.95,84,80353,Sur
100087,30016,488,61.51,82,113963,Norte
100088,1504,26,57.85,79,30000,Sur
100089,362,4,90.5,63,30000,Centro
100090,1137,8,142.12,75,123715,Norte
100091,14160,342,41.4,79,50856,Centro
100092,23351,183,127.6,86,63662,Sur
100093,497,5,99.4,79,142570,Sur
100094,1879,20,93.95,73,41299,Centro
100095,3189,44,72.48,69,58162,Norte
100096,748,5,149.6,68,94315,Norte
100097,1087,13,83.62,75,30000,Centro
100098,1419,11,129,74,30000,Este
100099,1741,21,82.9,76,55482,Norte
100100,16026,175,91.58,80,104813,Oeste
100101,2774,25,110.96,74,94818,Norte
100102,4853,36,134.81,77,45545,Norte
100103,2114,39,54.21,76,73113,Centro
100104,2708,34,79.65,88,131108,Norte
100105,3211,23,139.61,69,112415,Norte
100106,3157,25,126.28,93,30000,Este
100107,2375,23,103.26,82,76021,Centro
100108,399,5,79.8,79,52873,Oeste
100109,479,4,119.75,82,101135,Sur
100110,651,10,65.1,76,167270,Norte
100111,4920,111,44.32,79,92685,Norte
100112,299,5,59.8,81,38577,Sur
100113,446,4,111.5,66,30000,Norte
100114,4322,35,123.49,64,30000,Norte
100115,2859,41,69.73,67,101551,Centro
100116,3519,88,39.99,78,94189,Norte
100117,4876,72,67.72,83,86684,Este
100118,1374,26,52.85,67,31361,Este
100119,7562,56,135.04,75,87688,Sur
100120,7078,98,72.22,80,69294,Oeste
100121,819,7,117,74,120687,Centro
100122,6923,78,88.76,66,154143,Centro
100123,4600,35,131.43,75,30000,Centro
100124,11190,134,83.51,84,41952,Norte
100125,3870,56,69.11,82,30000,Centro
100126,1545,23,67.17,73,122829,Sur
100127,11684,216,54.09,87,90784,Sur
100128,1248,9,138.67,72,92884,Oeste
100129,4275,54,79.17,87,69642,Sur
100130,522,11,47.45,84,93570,Norte
100131,1940,13,149.23,79,108943,Este
100132,7185,73,98.42,56,90163,Sur
100133,370,4,92.5,71,43125,Centro
100134,2026,15,135.07,62,30000,Centro
100135,1024,7,146.29,63,30000,Sur
100136,817,7,116.71,69,77308,Centro
100137,10425,86,121.22,73,115440,Centro
100138,897,6,149.5,77,113219,Oeste
100139,1045,25,41.8,81,138201,Centro
100140,12437,309,40.25,81,111285,Norte
100141,2120,43,49.3,89,94281,Este
100142,487,4,121.75,72,65350,Sur
100143,1588,21,75.62,72,48680,Norte
100144,4346,48,90.54,73,32015,Sur
100145,1491,11,135.55,84,76218,Centro
100146,1529,18,84.94,88,79642,Sur
100147,1106,15,73.73,73,85551,Sur
100148,2464,17,144.94,83,99917,Norte
100149,969,9,107.67,77,131691,Este
100150,2140,17,125.88,73,94248,Centro
100151,4895,37,132.3,75,30000,Sur
100152,2688,34,79.06,106,30000,Centro
100153,1188,12,99,81,71794,Este
100154,230,5,46,82,55997,Centro
100155,4477,106,42.24,78,131490,Oeste
100156,9762,66,147.91,72,133037,Norte
100157,1148,9,127.56,82,30000,Sur
100158,1122,18,62.33,75,30000,Centro
100159,4155,37,112.3,74,114298,Centro
100160,1953,13,150.23,63,90874,Norte
100161,3101,28,110.75,86,65797,Este
100162,2082,16,130.12,84,60291,Oeste
100163,1127,11,102.45,67,92481,Sur
100164,8527,178,47.9,75,113477,Norte
100165,195,2,97.5,81,78431,Este
100166,1695,12,141.25,65,30000,Norte
100167,297,5,59.4,93,141188,Este
100168,2716,47,57.79,69,78242,Centro
100169,2021,14,144.36,74,62298,Centro
100170,5396,49,110.12,90,74554,Centro
100171,1143,12,95.25,74,44794,Norte
100172,115,2,57.5,77,98791,Norte
100173,459,3,153,89,122267,Centro
100174,466,4,116.5,82,82562,Norte
100175,1519,23,66.04,67,80872,Norte
100176,250,3,83.33,88,101184,Oeste
100177,645,5,129,80,76858,Sur
100178,689,13,53,71,147874,Centro
100179,12520,168,74.52,91,109557,Sur
100180,5799,98,59.17,78,64249,Norte
100181,1443,24,60.12,88,48054,Sur
100182,709,11,64.45,70,66061,Norte
100183,534,8,66.75,87,63442,Norte
100184,1969,16,123.06,85,100341,Este
100185,578,7,82.57,77,40794,Norte
100186,2908,40,72.7,70,100277,Centro
100187,4769,36,132.47,67,37791,Oeste
100188,7777,66,117.83,62,60493,Norte
100189,213,2,106.5,65,87287,Oeste
100190,3377,40,84.42,77,33480,Centro
100191,437,4,109.25,69,102948,Sur
100192,2937,58,50.64,77,50581,Este
100193,1801,12,150.08,77,103529,Sur
100194,16455,318,51.75,63,93628,Sur
100195,1766,31,56.97,71,142987,Centro
100196,3099,22,140.86,69,115949,Oeste
100197,2389,59,40.49,86,65384,Centro
100198,560,4,140,82,71116,Sur
100199,16134,261,61.82,66,100006,Norte
100200,15032,122,123.21,80,60296,Centro
100201,558,4,139.5,73,104802,Centro
100202,4184,29,144.28,67,78588,Centro
100203,4196,82,51.17,96,92515,Sur
100204,1207,9,134.11,66,109025,Centro
100205,5268,47,112.09,65,30000,Sur
100206,1418,18,78.78,79,46320,Norte
100207,13029,87,149.76,86,38272,Norte
100208,593,13,45.62,74,36047,Centro
100209,4540,96,47.29,78,117638,Este
100210,792,17,46.59,88,66534,Sur
100211,2208,34,64.94,78,76283,Este
100212,417,5,83.4,77,97364,Centro
100213,3540,32,110.62,70,61510,Norte
100214,7452,75,99.36,83,104488,Oeste
100215,519,11,47.18,71,62326,Este
100216,241,4,60.25,82,58952,Centro
100217,7731,170,45.48,72,55055,Este
100218,3694,36,102.61,64,64393,Oeste
100219,198,3,66,69,58744,Norte
100220,3867,85,45.49,99,60102,Centro
100221,1441,12,120.08,74,46020,Sur
100222,2029,24,84.54,71,30000,Este
100223,2453,23,106.65,71,58573,Sur
100224,2682,30,89.4,77,121893,Este
100225,1173,15,78.2,69,55643,Centro
100226,160,4,40,85,65643,Norte
100227,2862,21,136.29,73,62918,Sur
100228,4864,115,42.3,69,30000,Centro
100229,6174,77,80.18,101,110261,Sur
100230,102,1,102,72,102202,Norte
100231,11215,131,85.61,56,35230,Norte
100232,959,7,137,82,54606,Centro
100233,223,2,111.5,78,90179,Norte
100234,2331,33,70.64,80,91242,Centro
100235,2440,17,143.53,66,131446,Centro
100236,2176,53,41.06,60,81412,Este
100237,596,13,45.85,87,30000,Norte
100238,385,3,128.33,73,33888,Norte
100239,702,5,140.4,83,45884,Este
100240,2686,51,52.67,77,91271,Centro
100241,249,2,124.5,71,162035,Norte
100242,79,1,79,85,30000,Oeste
100243,424,4,106,81,80958,Norte
100244,3951,28,141.11,79,94014,Este
100245,1755,32,54.84,68,59743,Norte
100246,20859,185,112.75,63,80193,Oeste
100247,10941,183,59.79,86,54177,Este
100248,161,1,161,69,32195,Oeste
100249,6215,117,53.12,78,87129,Sur
100250,1441,17,84.76,78,45637,Norte
100251,1727,14,123.36,82,30000,Oeste
100252,706,13,54.31,70,111089,Este
100253,2400,50,48,85,30000,Centro
100254,1327,16,82.94,79,155694,Este
100255,1770,35,50.57,84,73875,Norte
100256,150,2,75,85,56368,Sur
100257,3037,32,94.91,77,44762,Este
100258,2492,25,99.68,70,30000,Sur
100259,12250,129,94.96,59,84162,Este
100260,1077,9,119.67,83,76162,Norte
100261,2848,50,56.96,96,39543,Sur
100262,2694,29,92.9,77,36084,Sur
100263,3035,59,51.44,81,30000,Centro
100264,2410,20,120.5,84,118689,Centro
100265,5443,50,108.86,75,104806,Sur
100266,10590,81,130.74,65,103413,Centro
100267,2714,50,54.28,70,38768,Oeste
100268,2975,56,53.12,89,72489,Sur
100269,701,13,53.92,70,100787,Oeste
100270,3574,61,58.59,78,89836,Sur
100271,895,8,111.88,67,62503,Sur
100272,1314,16,82.12,82,53546,Este
100273,2181,21,103.86,75,51237,Oeste
100274,2024,16,126.5,100,53955,Este
100275,473,4,118.25,77,57061,Sur
100276,1516,19,79.79,78,30185,Centro
100277,6863,71,96.66,74,30000,Centro
100278,1654,17,97.29,64,68505,Norte
100279,1657,30,55.23,71,106659,Norte
100280,3193,28,114.04,83,30000,Centro
100281,292,3,97.33,79,78688,Sur
100282,2611,54,48.35,70,67074,Norte
100283,1185,20,59.25,77,109718,Centro
100284,4376,73,59.95,68,92764,Norte
100285,1424,22,64.73,67,42824,Centro
100286,2169,20,108.45,83,94312,Oeste
100287,231,3,77,87,65204,Sur
100288,282,3,94,82,98287,Centro
100289,249,6,41.5,87,35093,Norte
100290,2199,53,41.49,83,64867,Norte
100291,1789,27,66.26,91,98328,Este
100292,1192,9,132.44,80,93779,Norte
100293,4916,42,117.05,65,91767,Este
100294,594,8,74.25,79,62563,Centro
100295,5345,62,86.21,80,73211,Centro
100296,1683,34,49.5,75,49263,Centro
100297,1336,24,55.67,70,100171,Sur
100298,3168,32,99,80,107195,Centro
100299,1049,10,104.9,67,38730,Oeste
100300,5020,93,53.98,77,30000,Centro
100301,9664,100,96.64,78,96421,Norte
100302,11175,245,45.61,62,32122,Centro
100303,4350,40,108.75,82,85128,Este
100304,1053,18,58.5,69,86083,Este
100305,301,2,150.5,81,87297,Norte
100306,1395,25,55.8,83,37329,Sur
100307,2353,23,102.3,82,96724,Centro
100308,36482,474,76.97,78,97772,Centro
100309,2135,18,118.61,81,109108,Centro
100310,4768,47,101.45,79,54940,Centro
100311,1072,8,134,81,30000,Centro
100312,550,5,110,75,132473,Sur
100313,374,3,124.67,75,30000,Norte
100314,446,6,74.33,74,94692,Sur
100315,354,6,59,71,47646,Este
100316,1335,21,63.57,79,112599,Este
100317,763,19,40.16,76,86962,Centro
100318,4241,69,61.46,79,95757,Centro
100319,4640,34,136.47,78,44720,Centro
100320,259,6,43.17,75,112978,Sur
100321,2192,18,121.78,79,96400,Centro
100322,1213,11,110.27,82,51520,Norte
100323,3310,27,122.59,71,146957,Este
100324,3265,54,60.46,82,60301,Este
100325,2691,28,96.11,82,77817,Oeste
100326,6342,51,124.35,75,71512,Norte
100327,422,4,105.5,83,30000,Centro
100328,646,12,53.83,74,30000,Sur
100329,2058,26,79.15,85,30000,Norte
100330,9029,89,101.45,62,89056,Sur
100331,557,5,111.4,95,92157,Sur
100332,5962,123,48.47,90,73941,Sur
100333,2181,17,128.29,67,30000,Norte
100334,5288,91,58.11,63,107715,Oeste
100335,5402,93,58.09,70,30680,Norte
100336,7069,49,144.27,81,44640,Norte
100337,373,5,74.6,76,54260,Norte
100338,3588,69,52,87,120871,Sur
100339,1249,22,56.77,75,107725,Sur
100340,2026,39,51.95,81,33708,Centro
100341,291,3,97,82,30000,Este
100342,1060,9,117.78,93,30000,Oeste
100343,5279,98,53.87,78,88874,Norte
100344,1044,9,116,83,38118,Norte
100345,1941,16,121.31,88,178338,Sur
100346,3276,61,53.7,70,98541,Oeste
100347,5014,65,77.14,74,30000,Oeste
100348,340,4,85,69,30204,Centro
100349,11475,188,61.04,78,67410,Centro
100350,984,7,140.57,75,70518,Centro
100351,6299,65,96.91,74,96954,Oeste
100352,1293,22,58.77,75,30000,Este
100353,404,4,101,69,131740,Sur
100354,464,4,116,74,52084,Sur
100355,2594,45,57.64,75,30000,Sur
100356,4665,37,126.08,70,103604,Oeste
100357,463,4,115.75,91,71901,Este
100358,9695,112,86.56,69,30000,Oeste
100359,1940,26,74.62,63,93908,Norte
100360,499,8,62.38,79,30000,Sur
100361,3457,24,144.04,70,37015,Oeste
100362,11827,121,97.74,76,55968,Norte
100363,959,8,119.88,67,124145,Este
100364,2571,30,85.7,95,75373,Centro
100365,2480,23,107.83,76,113574,Norte
100366,709,11,64.45,67,60441,Centro
100367,6657,47,141.64,74,86530,Sur
100368,652,15,43.47,97,52169,Este
100369,5097,40,127.42,77,42916,Norte
100370,16232,116,139.93,63,90688,Norte
100371,5552,55,100.95,72,89445,Sur
100372,105,1,105,86,108180,Centro
100373,1923,16,120.19,85,52775,Este
100374,988,11,89.82,79,30000,Centro
100375,2568,29,88.55,75,91612,Centro
100376,281,2,140.5,61,147493,Sur
100377,6167,137,45.01,81,125430,Sur
100378,1318,25,52.72,77,76306,Sur
100379,436,5,87.2,79,126663,Sur
100380,1020,10,102,74,62316,Norte
100381,739,7,105.57,78,138078,Sur
100382,739,13,56.85,70,30108,Norte
100383,2899,24,120.79,86,93635,Centro
100384,1107,16,69.19,67,140353,Sur
100385,2615,55,47.55,72,91119,Este
100386,64,1,64,72,54336,Centro
100387,643,6,107.17,79,78105,Este
100388,2180,19,114.74,80,170067,Norte
100389,536,11,48.73,72,86243,Este
100390,1212,18,67.33,89,111227,Sur
100391,1016,15,67.73,91,83963,Norte
100392,7276,75,97.01,78,70122,Centro
100393,7285,91,80.05,68,57846,Centro
100394,511,5,102.2,67,136573,Este
100395,1141,13,87.77,79,30000,Sur
100396,1762,32,55.06,85,58854,Sur
100397,1255,10,125.5,48,68604,Sur
100398,5145,41,125.49,68,105084,Oeste
100399,284,5,56.8,79,89817,Este
100400,1568,23,68.17,82,72435,Oeste
100401,3470,86,40.35,82,52469,Norte
100402,606,4,151.5,71,82801,Sur
100403,467,3,155.67,79,89548,Oeste
100404,1180,9,131.11,92,147527,Centro
100405,105,1,105,88,40944,Norte
100406,95,1,95,76,46133,Centro
100407,503,4,125.75,84,64649,Sur
100408,919,8,114.88,63,90888,Norte
100409,2296,46,49.91,74,83098,Centro
100410,3589,24,149.54,67,42953,Sur
100411,4240,95,44.63,81,57419,Centro
100412,4913,94,52.27,78,80650,Centro
100413,572,8,71.5,77,48448,Centro
100414,4144,94,44.09,70,147377,Centro
100415,938,12,78.17,68,67717,Norte
100416,2209,21,105.19,67,30000,Sur
100417,1072,8,134,80,62983,Este
100418,2018,25,80.72,69,30000,Norte
100419,482,4,120.5,88,48169,Centro
100420,21215,155,136.87,86,119774,Este
100421,4062,28,145.07,98,30000,Centro
100422,10709,150,71.39,61,32644,Sur
100423,479,3,159.67,76,105069,Centro
100424,202,2,101,78,53698,Sur
100425,4049,49,82.63,72,30000,Centro
100426,446,5,89.2,93,86313,Centro
100427,9827,94,104.54,73,121937,Oeste
100428,29225,295,99.07,74,42916,Norte
100429,5130,113,45.4,68,46693,Centro
100430,1342,17,78.94,82,30000,Sur
100431,675,5,135,87,86776,Norte
100432,5660,102,55.49,68,90490,Centro
100433,2439,17,143.47,84,63973,Norte
100434,276,2,138,85,42540,Centro
100435,2288,43,53.21,69,137349,Sur
100436,1972,34,58,77,90748,Oeste
100437,1623,18,90.17,69,39759,Norte
100438,1403,10,140.3,79,177660,Oeste
100439,4391,46,95.46,89,41178,Norte
100440,561,7,80.14,69,107054,Centro
100441,825,13,63.46,80,75018,Sur
100442,806,7,115.14,81,81891,Centro
100443,1869,17,109.94,85,31210,Este
100444,4435,78,56.86,72,44967,Oeste
100445,813,11,73.91,92,76525,Centro
100446,1841,28,65.75,74,66138,Centro
100447,1139,9,126.56,66,124329,Centro
100448,11423,82,139.3,77,60508,Centro
100449,669,16,41.81,83,107696,Este
100450,668,10,66.8,89,41836,Este
100451,322,3,107.33,78,132970,Oeste
100452,2986,30,99.53,73,67331,Sur
100453,9076,101,89.86,74,116758,Este
100454,250,3,83.33,86,63133,Norte
100455,1174,14,83.86,83,30000,Sur
100456,764,10,76.4,80,78096,Este
100457,63,2,31.5,88,40257,Centro
100458,12914,115,112.3,69,99558,Centro
100459,1878,29,64.76,81,42063,Norte
100460,159,2,79.5,76,66050,Este
100461,136,2,68,80,48951,Sur
100462,2118,16,132.38,72,41997,Sur
100463,1205,18,66.94,73,88406,Este
100464,1380,11,125.45,67,111449,Centro
100465,206,4,51.5,75,84816,Sur
100466,6800,141,48.23,77,153804,Sur
100467,811,9,90.11,68,88364,Centro
100468,785,6,130.83,72,30000,Centro
100469,633,13,48.69,69,50375,Norte
100470,14297,139,102.86,83,60042,Norte
100471,938,13,72.15,54,121048,Este
100472,22809,253,90.15,77,30000,Centro
100473,787,6,131.17,81,63440,Norte
100474,4872,51,95.53,63,61560,Oeste
100475,6454,79,81.7,85,54513,Sur
100476,286,2,143,69,78954,Este
100477,4922,93,52.92,71,30000,Centro
100478,7934,60,132.23,70,78362,Norte
100479,178,3,59.33,84,74698,Oeste
100480,4473,44,101.66,67,81107,Sur
100481,3699,79,46.82,76,112809,Este
100482,6967,48,145.15,65,44863,Este
100483,16217,182,89.1,73,72218,Centro
100484,2151,32,67.22,69,34833,Este
100485,449,9,49.89,73,75025,Centro
100486,7808,116,67.31,85,91446,Sur
100487,418,3,139.33,81,121632,Centro
100488,6251,71,88.04,80,44160,Centro
100489,771,9,85.67,88,38200,Este
100490,1674,28,59.79,74,93166,Este
100491,2490,39,63.85,74,77258,Este
100492,13018,106,122.81,70,31364,Oeste
100493,1129,8,141.12,74,106276,Sur
100494,807,18,44.83,78,93144,Sur
100495,4715,52,90.67,72,58854,Norte
100496,530,4,132.5,77,85811,Este
100497,3349,28,119.61,92,101233,Sur
100498,1307,13,100.54,77,104011,Norte
100499,1909,32,59.66,74,30000,Centro
100500,2044,20,102.2,83,46739,Norte
100501,8857,63,140.59,80,95274,Centro
100502,934,6,155.67,82,39961,Este
100503,1303,11,118.45,71,113670,Este
100504,483,4,120.75,58,94530,Este
100505,236,2,118,71,30000,Norte
100506,14057,135,104.13,71,80726,Sur
100507,4074,33,123.45,71,62277,Centro
100508,828,11,75.27,70,32033,Norte
100509,1553,18,86.28,77,68308,Oeste
100510,2769,59,46.93,67,67078,Sur
100511,1157,15,77.13,71,86586,Norte
100512,3908,52,75.15,55,105830,Oeste
100513,1550,35,44.29,68,30000,Norte
100514,7229,54,133.87,80,67489,Centro
100515,21383,279,76.64,71,64022,Oeste
100516,811,8,101.38,89,93563,Sur
100517,1590,13,122.31,66,159467,Centro
100518,1480,15,98.67,85,143904,Oeste
100519,1479,15,98.6,82,69572,Norte
100520,1352,20,67.6,67,115331,Centro
100521,3608,85,42.45,68,30000,Centro
100522,130,1,130,87,82740,Norte
100523,23000,344,66.86,94,82921,Sur
100524,1968,14,140.57,64,60732,Este
100525,3908,37,105.62,67,62433,Sur
100526,104,1,104,75,59329,Oeste
100527,244,4,61,83,45911,Centro
100528,7889,64,123.27,79,59811,Norte
100529,1369,11,124.45,77,110749,Norte
100530,4291,44,97.52,73,31903,Norte
100531,493,12,41.08,72,42331,Norte
100532,311,3,103.67,79,30000,Sur
100533,3191,25,127.64,81,111831,Sur
100534,914,6,152.33,74,65949,Este
100535,843,19,44.37,85,83883,Este
100536,3238,29,111.66,70,142331,Oeste
100537,2797,44,63.57,70,30000,Centro
100538,206,5,41.2,75,60867,Sur
100539,1476,15,98.4,78,70028,Norte
100540,1153,12,96.08,67,84722,Centro
100541,1264,10,126.4,78,69346,Este
100542,414,3,138,82,151185,Sur
100543,7110,59,120.51,71,44455,Centro
100544,738,9,82,68,50393,Centro
100545,5011,42,119.31,74,32556,Norte
100546,2285,24,95.21,67,128007,Norte
100547,7957,156,51.01,82,104791,Este
100548,1358,10,135.8,73,117287,Norte
100549,153,1,153,64,30000,Sur
100550,1478,10,147.8,87,38430,Este
100551,141,3,47,82,30000,Centro
100552,6063,59,102.76,73,92646,Este
100553,719,6,119.83,68,48134,Centro
100554,5538,77,71.92,65,127419,Norte
100555,28968,643,45.05,91,30000,Norte
100556,873,6,145.5,81,69955,Este
100557,1531,26,58.88,100,91483,Sur
100558,1052,16,65.75,63,99907,Sur
100559,7325,75,97.67,93,76680,Oeste
100560,5492,59,93.08,71,70505,Centro
100561,254,5,50.8,81,47779,Sur
100562,3875,27,143.52,80,123913,Oeste
100563,287,2,143.5,81,107611,Sur
100564,1730,35,49.43,71,131938,Este
100565,2307,27,85.44,84,31564,Sur
100566,3530,74,47.7,81,107972,Centro
100567,473,5,94.6,74,98026,Este
100568,5340,71,75.21,83,30000,Sur
100569,1819,33,55.12,86,42608,Centro
100570,2267,15,151.13,84,32848,Centro
100571,1068,8,133.5,72,38378,Norte
100572,2621,58,45.19,70,30000,Este
100573,7732,191,40.48,72,78171,Sur
100574,11228,128,87.72,80,30000,Centro
100575,316,3,105.33,73,61870,Norte
100576,3898,65,59.97,81,64163,Este
100577,1709,21,81.38,69,30000,Centro
100578,5652,45,125.6,77,66622,Sur
100579,5748,100,57.48,87,102895,Sur
100580,1299,23,56.48,86,132519,Sur
100581,490,6,81.67,74,30000,Sur
100582,963,7,137.57,77,100897,Oeste
100583,440,6,73.33,84,46926,Centro
100584,6144,50,122.88,64,154207,Oeste
100585,417,4,104.25,69,30000,Centro
100586,768,7,109.71,67,30000,Este
100587,1812,25,72.48,70,108444,Norte
100588,286,3,95.33,75,116753,Oeste
100589,1258,11,114.36,70,84361,Sur
100590,3001,28,107.18,62,61215,Centro
100591,2566,23,111.57,69,142578,Centro
100592,3193,37,86.3,71,30000,Centro
100593,17740,420,42.24,92,60160,Centro
100594,5357,55,97.4,78,54218,Norte
100595,1500,15,100,78,30000,Centro
100596,1039,17,61.12,80,79880,Centro
100597,516,3,172,81,64002,Centro
100598,783,11,71.18,90,55806,Este
100599,3126,36,86.83,69,91265,Sur
100600,698,8,87.25,107,128308,Sur
100601,531,5,106.2,56,123983,Este
100602,3448,30,114.93,89,90229,Sur
100603,2022,22,91.91,84,47730,Sur
100604,2620,23,113.91,84,90390,Norte
100605,1180,8,147.5,79,119943,Centro
100606,1246,24,51.92,72,92655,Norte
100607,510,4,127.5,77,91045,Centro
100608,402,10,40.2,81,59391,Centro
100609,6405,79,81.08,79,67633,Norte
100610,5037,84,59.96,78,110097,Norte
100611,1453,21,69.19,83,30000,Centro
100612,757,7,108.14,87,53926,Norte
100613,3280,47,69.79,68,119740,Este
100614,5250,51,102.94,75,102310,Sur
100615,277,2,138.5,72,86607,Centro
100616,665,7,95,69,153656,Centro
100617,16185,265,61.08,70,149034,Centro
100618,291,3,97,73,30000,Este
100619,1432,14,102.29,78,39165,Sur
100620,6376,45,141.69,82,39453,Centro
100621,963,9,107,83,69869,Sur
100622,2540,30,84.67,70,58343,Oeste
100623,172,2,86,71,68420,Norte
100624,1291,11,117.36,81,95581,Este
100625,8895,110,80.86,63,78426,Oeste
100626,1306,10,130.6,72,126743,Norte
100627,1754,15,116.93,78,45578,Norte
100628,2978,51,58.39,81,30000,Oeste
100629,356,8,44.5,80,61289,Centro
100630,186,2,93,66,99904,Norte
100631,31,1,31,82,72184,Centro
100632,1605,14,114.64,77,58487,Este
100633,739,9,82.11,69,40789,Sur
100634,579,8,72.38,78,68636,Centro
100635,2348,26,90.31,70,51923,Este
100636,1519,11,138.09,70,109789,Sur
100637,968,10,96.8,77,131283,Sur
100638,226,2,113,82,57933,Sur
100639,932,7,133.14,86,111739,Norte
100640,728,6,121.33,60,100607,Norte
100641,369,9,41,68,117825,Este
100642,3341,27,123.74,77,69823,Oeste
100643,255,5,51,73,30000,Este
100644,3272,33,99.15,61,62734,Norte
100645,2916,23,126.78,86,83605,Oeste
100646,4184,42,99.62,68,102160,Centro
100647,3260,24,135.83,77,40589,Este
100648,683,13,52.54,98,30000,Norte
100649,3524,31,113.68,82,30000,Centro
100650,6628,48,138.08,79,148594,Sur
100651,7867,98,80.28,75,99103,Este
100652,6666,137,48.66,82,69407,Centro
100653,1239,26,47.65,68,67737,Sur
100654,4813,32,150.41,69,30000,Norte
100655,8874,61,145.48,68,130804,Sur
100656,343,3,114.33,67,30000,Norte
100657,760,6,126.67,82,70625,Norte
100658,2164,22,98.36,89,143087,Centro
100659,4976,41,121.37,86,99905,Sur
100660,496,5,99.2,65,83258,Este
100661,1064,10,106.4,69,115162,Centro
100662,6141,76,80.8,74,78163,Centro
100663,360,5,72,69,88900,Norte
100664,1630,33,49.39,61,104298,Norte
100665,6384,96,66.5,80,48350,Norte
100666,17407,188,92.59,86,142993,Este
100667,756,15,50.4,78,30000,Centro
100668,2039,45,45.31,76,118807,Centro
100669,1288,10,128.8,78,45686,Norte
100670,1751,15,116.73,86,69995,Centro
100671,375,6,62.5,76,30000,Centro
100672,15019,158,95.06,84,71871,Sur
100673,12545,86,145.87,70,30000,Centro
100674,308,3,102.67,83,88193,Sur
100675,1486,25,59.44,72,30000,Centro
100676,152,1,152,62,30000,Centro
100677,183,2,91.5,70,101501,Este
100678,1069,9,118.78,92,30000,Centro
100679,6440,54,119.26,70,55415,Norte
